Cause-Effect-Inv	16	21	The first order of business when a patient complains of palpitations is to check whether the palpitations are caused by a heart rhythm.
Message-Topic	4	9	The remainder of this report had relation to the payment of the loan from the bank.
Other	1	5	The crew assisted with the investigation and was in service for around an hour.
Content-Container	2	11	The tiny image of the Renaissance master is hidden in a carafe of wine in his 1597 oil painting Bacchus, one of his most acclaimed works.
Entity-Destination	1	8	Ten applications are automatically entered into a monthly prize draw.
Product-Producer-Inv	1	12	A writer who lives in Salt Lake City has recently completed a memoir about her experiences as a Mormon missionary.
Product-Producer-Inv	14	21	Next was a stop at Christien Meindertsma's gorgeous knitting exhibition where she and an assistant knit a giant really thick woolen rug using six-foot-long needles.
Cause-Effect-Inv	4	13	Also, we note the convergence over the lakes caused by the land breeze circulation.
Component-Whole-Inv	4	5	She clicked on the book title to see a couple of illustrations from the book.
Instrument-Agency	2	4	The best spikes for knights are Hook + Big Weel and Death Strike + Dragon divide.
Message-Topic	5	11	It is an international, monthly magazine dedicated to all forms of contemporary sculpture.
Entity-Origin	5	8	Upon the arrival of an embassy from the injured to demand satisfaction, Romulus decided that those who had done the injury should be delivered up.
Product-Producer	1	5	The film's star, writer and director, Tommy Wiseau, has claimed it to be a black comedy, but other actors involved in the production believe it was supposed to be a melodramatic romance.
Member-Collection-Inv	1	3	The library contained books of guidance on the processes.
Other	0	1	 Sharpening stones, water stones or whetstones are used to grind and hone the edges of steel tools and implements.
Entity-Destination	0	5	 Intruders are going into the organisation looking for key documents.
Entity-Destination	3	9	Last week, the troops moved into a dangerous war zone.
Other	13	18	It is the oldest and largest international research consortium aimed at understanding the challenges facing the global automotive industry.
Other	0	6	 Mom of 5 succeeded with can-do attitude.
Cause-Effect-Inv	6	13	We seek to actually reverse the injury that has been caused by the heart attack.
Content-Container	1	6	An explosive was hidden in a condom or condom-like bag just below his torso.
Cause-Effect-Inv	17	21	The funds raised through this appeal have a direct impact on the people affected by the severe devastations caused by the storms.
Cause-Effect-Inv	4	6	I too, get a headache from wine, and was always told that it was the sulfites.
Cause-Effect-Inv	9	13	He received reports from the residence hall presidents regarding evacuation after the fire drill.
Cause-Effect-Inv	3	7	Aware of the suffering caused by the destruction of life, I am committed to cultivating compassion and learning ways to protect the lives of people, animals, plants, and minerals.
Component-Whole-Inv	2	6	The cutting machine contains 13 circular blades mounted on a cutting axis.
Content-Container	26	29	When recruits were paid a shilling for signing on to the Royal Navy, press gangs tricked men into committing themselves to service by passing them the coin in a tankard of beer.
Component-Whole-Inv	1	6	The outer ear also includes the ear canal, where wax is produced.
Entity-Origin	5	10	On each occasion the search parties departed from Commissioner Tyers's headquarters at Eagle Point overlooking Lake King.
Entity-Destination	1	8	All bookmarks have been exported to a single file.
Product-Producer	20	23	These breakdown products are not only losses of sucrose but also have knock-on effects reducing the final output of processed sugar from the factory.
Other	0	5	 Families are being thrown into poverty by our corrupt health care system.
Other	3	6	Barber's Olympic bobsleigh plans go into meltdown.
Message-Topic-Inv	1	13	The cover of the inner artwork of the record was analysed in an article published in 2008.
Entity-Destination	2	9	A basic data entry has been added to the database.
Product-Producer	11	12	Rather more fun is book-crossing, started in the US by a software developer to encourage the release of books into the wild so they can be enjoyed by others.
Content-Container	1	5	The frame encloses a rectangular picture that has the same area as the frame itself.
Other	0	4	 Readers focus on the content rather than struggling to see the words.
Product-Producer-Inv	1	4	The corporation has constructed railways in Ukraine, Guinea, Iran, Iraq, and Syria.
Cause-Effect	11	14	Using solar electricity instead of conventional electricity sources helps to reduce pollution that causes smog, acid rain, respiratory illness and global warming.
Entity-Destination	9	13	On the other side of the grape crusher the stems poured out into trays.
Component-Whole-Inv	2	10	"The developed mechanism is composed of a dual coaxial high-precision goniometer, which has theta-in and theta-out axes with 0.0025"" resolution, and two crystal mounts connected to the rotation axes (Fig. 1)."
Other	4	7	With these axioms, the judges cultivated the principles of judgment, and those principles could be used in gauging the restrictions on freedom that were justified or unjustified, in any domain of the law.
Content-Container-Inv	1	4	The crypt contained the tomb of St Paul but the altar had hidden it.
Entity-Destination	2	6	The illicit guns flow into this country through Mexican gangs.
Entity-Destination	6	10	We watched as a barman poured alcohol on to the bar, poured absinthe into a couple of shot glasses, then lit the lot.
Component-Whole	7	10	The memory compartment is placed in the handgrip of the camera.
Component-Whole	13	17	We report a rather unusual case of severe ocular injury caused by the shank of a triplet fish hook.
Cause-Effect-Inv	9	15	Some people took this as an indication that the increase was caused by the MMR vaccine.
Component-Whole	16	21	The stabilising effects on the glenohumeral joint of each of the rotator-cuff muscles and of the biceps were studied with the arm in abduction and external rotation in 13 cadaver shoulders.
Other	19	22	The government has spended the following 18 months before the elections in a similar vein - shooting a whole lead of Conservative foxes, to extend the metaphor - namely Heathrow and Royal Mail privatisation.
Other	3	7	Chin creates his work based on his life experiences and observations.
Component-Whole	7	11	An old lady was standing at the railing of the cruise ship holding her hat on tight, so that it would not blow off in the wind.
Member-Collection-Inv	14	16	As evidenced from the detailed histories and clinicopathological summaries insome reports, there is a body of pathologists who are committed to performing at a high level, and answering all the questions raised by a death.
Entity-Origin	9	12	In Swahili, Jana means yesterday; so here are some items from her yesterdays.
Other	1	4	Preventing stream and riverbank erosion is one of the main focuses in riparian protection and restoration.
Message-Topic	3	7	Later in his speech, Obama declared his support for Iranian nuclear power and opposition to Iranian nuclear weapons.
Other	3	7	They stored the wine in a cool temperature.
Member-Collection-Inv	4	6	It was a total canaille of letters pencils and papers and things that had been placed once on my table and to be removed and tucked away elsewhere the next day.
Entity-Origin	5	10	This past September, the convicted burglar escaped from an open prison.
Component-Whole-Inv	7	9	Two of Walters's fingers are inside the koala 's pouch.
Cause-Effect-Inv	9	17	In businesses generally the third party claims for the damages that has been caused by the company vehicle.
Entity-Origin-Inv	11	12	Rowan Berry Wine is a classic Ancient method to form a fruit wine based on rowan berries.
Cause-Effect-Inv	1	4	The pollution from animal factories is also destroying parts of the world's oceans.
Cause-Effect-Inv	0	7	 Outbreaks caused by the oral vaccine's live virus have happened before.
Message-Topic-Inv	1	11	Aboriginal people have repeatedly been popularly described through coarse, even racist caricatures.
Member-Collection-Inv	21	24	Sam, who formerly was a sportsman, and in his apprenticeship used to frequent Barnet races, keeps a high chaise, with a brace of seasoned geldings.
Message-Topic-Inv	1	6	The migration as defined in this article was the expansion of the Turkic peoples across most of Central Asia into Europe and the Middle East.
Product-Producer-Inv	1	5	The filmmakers dug a large hole in the ground for the scene where the Narnians cause the pillars supporting the growth near Aslan's How to collapse on the Telmarines.
Product-Producer-Inv	5	8	Ten years ago an Indian academic knocked a hole through the wall of his laboratory so that children in the adjoining slum could play on one of his computers.
Component-Whole	10	13	Unlike modern tunnels, the brothers placed their fan at the entrance of the tunnel.
Instrument-Agency-Inv	9	11	Profit centres are points in the structure where the manager uses resources in order to achieve profitability targets.
Content-Container	1	5	The charger was in a suitcase that was lost by the airline.
Entity-Origin-Inv	3	4	The production of rice spirits in South China, such as the well-known Guiling Shanhua Spirit, kept using the same method described above until the first half of this century.
Other	1	4	The cockpit accommodated a crew of three, including pilot, radar operator, and sensor operator.
Entity-Origin	1	6	The aircraft departed from the illegal airport of Lefkoniko the following day.
Other	1	10	The study is making a valuable contribution to determining the levels of sustainable tourism in this country.
Other	0	7	 Children in rural Southern areas fell into poverty faster than those in cities in 2008.
Entity-Destination	4	7	The government has poured billions into education reforms.
Other	3	8	A seemingly orthodox person has departed into serious error.
Other	22	25	Their retreat was disorderly and confused and much like a flight, the Pallantines hanging on their flanks and rear and doing great damage from early dawn till evening.
Message-Topic	10	13	Just a moment ago you were pronouncing such astonishingly correct opinions about our town, and now you're so silent.
Entity-Origin	4	8	The character of the drug release from the conjugates was different.
Other	1	4	The team finishes the season with a 9-11 record, just short of tournament contention.
Component-Whole	17	20	One small piece of fleece or other soft, slightly thick material (to protect your iPod from the rivet of the button on the inside of the pocket).
Instrument-Agency-Inv	1	7	The violinist produces sound by drawing a bow across one or more strings (which may be stopped by the fingers of the other hand).
Cause-Effect-Inv	1	6	The pain was radiating from the contraction out to my hips and back and then down both my legs all the way to my toes.
Message-Topic-Inv	4	7	Tobia made a stunning revelation in a phone call in September 2002.
Member-Collection-Inv	4	6	He had a huge zoo of animals, savage beasts from the far parts of the world, but that wasn't enough for him.
Cause-Effect-Inv	20	25	Former Safety-Service Director Rex Katterheinrich estimated the city collecting $2.16 million in 2009, who took into account for the economic slowdown caused by the national recession.
Component-Whole	5	8	The fins extend beyond the hull of the vessel below the waterline, and alter their angle of attack depending upon heel angle of the vessel.
Content-Container-Inv	7	10	The mission introduced the spoon bowl, a plastic container with dehydrated food inside.
Cause-Effect-Inv	1	6	The riot was instigated by the clergy of the Church of England with the active support and collaboration of the magistrates.
Content-Container	1	5	The sugar was in a cabinet above the sink.
