Entity-Destination	5	9	The user has entered his password into an authorized system.
Message-Topic	1	4	The images show a group of men that detectives want to question.
Component-Whole	21	24	As we watched the videotape, we noticed that for some unknown reason men were tending to wander over toward the glassware section of the store.
Cause-Effect	3	10	Rains and melting snow lead to Genesee County's biggest sewage spill of the year.
Other	1	6	The protesters carefully chose a private road in order not to cause inconvenience to the public.
Entity-Origin	4	9	Half of the new subscribers hailed from China's vast countryside.
Other	1	6	Shin splints are caused by the muscles on the front and sides of the leg.
Entity-Destination	2	6	A Japanese ferry ran into a whale.
Message-Topic	1	4	This article charts the history of the city from its settlement by the Insubres around 600 BC.
Content-Container	2	6	The handwritten note was inside a plastic baggy.
Entity-Origin	1	5	The water evaporated from the paintings, leaving only the colored salt behind.
Other	13	16	That's right boys and girls you read that correctly, you just shared a printer over the internet.
Entity-Origin	3	6	A 15 minute plane drive from runway to terminal is uncommon.
Entity-Destination	4	6	Drug smugglers surgically implanted heroin into puppies.
Component-Whole-Inv	5	6	I removed and reinstalled my door handle just to see if it could be all be done external to the door.
Entity-Destination	1	5	A space shuttle travels into space.
Member-Collection-Inv	7	9	He walked me over to an immense pile of rocks -- someone had broken down a stone wall -- and told me to move them to the back of the church courtyard across the street.
Component-Whole-Inv	9	12	This blouse puts a unique twist on the classic blouse with bat-wing sleeves.
Message-Topic	1	5	A clip describing the bakery's investment in people as well as machines has been presented.
Cause-Effect-Inv	1	7	The bruises are caused by the attacker's fingertips pressing into the skin.
Other	1	4	The tools made the job easy when it could have been a nightmare.
Other	3	8	As time passed, aluminum formed itself into a can, a lid, and a tab.
Cause-Effect-Inv	7	11	For decades, most of the nation's renewable power has come from dams, which supplied cheap electricity without requiring fossil fuels.
Instrument-Agency	3	12	Other keyed string instruments, small enough to be held by a strolling player, include the plucked autoharp, the bowed nyckelharpa, and the hurdy gurdy, which is played by cranking a rosined wheel.
Cause-Effect-Inv	17	29	"The scientific, yet understandable reasons of why the L*Bo Aid is so effective in eliminating and preventing elbow pain due to epicondylitis commonly referred to as ""Tennis Elbow"" and tendinitis."
Content-Container	3	6	We keep the box in a desk drawer and use the removable four-compartment tray to organize cash and valuables.
